Feature,Type,2015 % (n),2024 % (n)
adequate_anc,Binary,51.9% (n=6768),66.6% (n=4615)
anc_visits,Continuous,"mean=3.77, sd=1.62","mean=4.22, sd=1.52"
caesarean,Binary,7.0% (n=910),11.5% (n=794)
early_anc,Binary,26.0% (n=3389),57.5% (n=3981)
facility_delivery,Binary,94.8% (n=12358),97.6% (n=6756)
first_anc_month,Continuous,"mean=4.45, sd=1.31","mean=3.34, sd=1.34"
optimal_anc,Binary,1.4% (n=183),2.9% (n=203)
pnc_received,Binary,45.1% (n=5871),43.2% (n=2992)
skilled_anc,Binary,96.6% (n=12593),98.4% (n=6817)
skilled_delivery,Binary,92.0% (n=11993),97.1% (n=6721)
told_complications,Binary,25.3% (n=3296),24.8% (n=1715)
