year,k,bic_mean,bic_std,aic_mean,aic_std,silhouette,davies_bouldin,calinski_harabasz,min_cluster_pct,max_cluster_pct
2015,2,79221.63359691187,38997.24985032838,78063.00709804342,38997.24985032838,0.3987,1.3714,2150.5,8.4,91.6
2015,3,-113982.32130553763,44916.66142716263,-115723.99855867532,44916.661427162624,0.2594,2.029,1648.4,3.8,66.5
2015,4,-250987.95063603693,72613.94371168455,-253312.6786434439,72613.94371168455,0.318,1.4768,2234.2,7.0,60.1
2015,5,-408472.71561545983,73211.01136633822,-411380.4943771361,73211.01136633822,0.2209,1.6783,1888.0,3.4,36.5
2015,6,-490715.0489285508,24828.69898285444,-494205.87844449625,24828.698982854436,0.2812,1.2343,2887.8,1.4,28.4
2024,2,-19076.161289134867,59093.559915594924,-20136.809755448474,59093.559915594924,0.5538,1.6413,985.7,5.0,95.0
2024,3,-109991.36524718995,49400.44913087485,-111585.75939332586,49400.449130874855,0.2686,1.533,1527.2,5.0,48.4
2024,4,-181831.26183556436,57201.25574611696,-183959.40166152263,57201.25574611697,0.296,1.5877,1523.5,2.4,52.2
2024,5,-197135.16983076755,41479.93258842499,-199797.0553365482,41479.93258842499,0.2714,1.3489,1381.6,3.5,40.7
2024,6,-281683.6154074659,51217.70519789294,-284879.2465930688,51217.70519789292,0.1939,1.3951,1066.7,3.0,46.5
